Id,Title,Year,Genres,Runtime,Plot,Original Language,Director,Writer,Main Cast,Rating (RT),Nuni Aprooval,Fun Fact,Seen,PosterFileName
1016,The Usual Suspects,1995,Psychological-Thriller Crime Action,,A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat which began when five criminals met at a seemingly random police lineup. ,English,Bryan Singer,Christopher McQuarrie,Kevin Spacey Gabriel Byrne Chazz Palminteri,89% Expertly shot and edited The Usual Suspects gives the audience a simple plot and then piles on layers of deceit twists and violence before pulling out the rug from underneath.,,,TRUE,
1017,Enemy,2013,Psychological-Thriller Mystery,,A man seeks out his exact look-alike after spotting him in a movie.,English,Denis Villeneuve,Jose Saramago Javier Gullon,Jake Gyllenhaal Melanie Laurent Sarah Gadon,74% Thanks to a strong performance from Jake Gyllenhaal and smart direction from Denis Villeneuve Enemy hits the mark as a tense uncommonly adventurous thriller.,,,TRUE,
1018,The Prestige,2006,Psychological-Thriller Mystery,,After a tragic accident two stage magicians engage in a battle to create the ultimate illusion whilst sacrificing everything they have to outwit the other. ,English,Christopher Nolan,Jonathan Nolan Christopher Nolan,Christian Bale Hugh Jackman Scarlett Johansson,75% Full of twists and turns The Prestige is a dazzling period piece that never stops challenging the audience.,,,TRUE,
1019,Secret Window,2004,Psychological-Thriller Mystery,,"A writer is accused of plagiarism by a strange man who then starts haunting him for ""justice.""",English,David Koepp,Stephen King David Koepp,Johnny Depp Maria Bello John Turturro,46% Depp is quirkily entertaining but the movie runs out of steam by the end.,,,TRUE,
1020,Arrival,2016,Sci-Fi Psychological-Thriller,,A linguist is recruited by the military to communicate with alien lifeforms after twelve mysterious spacecrafts land around the world. ,English,Denis Villeneuve,Eric Heisserer Ted Chiang,Amy Adams Jeremy Renner Forest Whitaker,94% Arrival delivers a must-see experience for fans of thinking person's sci-fi that anchors its heady themes with genuinely affecting emotion and a terrific performance from Amy Adams.,,,TRUE,
1021,Triangle,2009,Psychological-Thriller,,A group of friends suffer a yachting accident and take refuge on a cruise drifting on the open sea but quickly realize they were better off on the upturned yacht ,English,Christopher Smith,Christopher Smith,Melissa George Joshua McIvor Jack Taylor,80% No Consensus.,,,TRUE,
1022,We need to talk about Kevin,2011,Drama Mystery Psychological-Thriller,,Kevin's mother struggles to love her strange child despite the increasingly dangerous things he says and does as he grows up. But Kevin is just getting started and his final act will be beyond anything anyone imagined. ,English,Lynne Ramsay,Lynne Ramsay Rory Kinnear,Tilda Swinton Ezra Miller John Reilly,76% We Need to Talk About Kevin is a masterful blend of drama and horror with fantastic performances across the board (Tilda Swinton especially delivering one of her very best).,,,TRUE,
1023,Primer,2004,Psychological-Thriller Sci-Fi Time-travel,,Four friends/fledgling entrepreneurs knowing that there's something bigger and more innovative than the different error-checking devices they've built wrestle over their new invention. ,English,Shane Carruth,Shane Carruth,Shanne Carruth David Sullivan Casey Gooden,72% Dense obtuse but stimulating Primer is a film for viewers ready for a cerebral challenge.,,,TRUE,
1024,Inception,2010,Psychological-Thriller Action Sci-Fi,,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO. ,English,Christopher Nolan,Christopher Nolan,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page,86% Smart innovative and thrilling Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually.,,,TRUE,
1025,The skin I live in,2011,Psychological-Thriller Drama,,A brilliant plastic surgeon haunted by past tragedies creates a type of synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession. ,English,Pedro Almodovar,Thierry Jonquet Pedro Almodovar,Antonio Banderas Elena Anaya Jan Cornet,80% The Skin I Live In lacks Almodovar's famously charged romance replaced with a wonderfully bizarre and unpredictable detour into arthouse ick.,,,TRUE,
